Intrinsic Reaction coordinate;1TS_Glu (kcal/mol);2TS_Glu;1TS_Asp;2TS_Asp (kcal/mol);2TS_Glu (kcal/mol)
1;0;0;0;0;0
2;0.00628;0.006275;0.00627;0.00628;0.006275
3;0.01255;0.01255;0.01255;0.01255;0.01255
4;0.01883;0.018825;0.01882;0.0251;0.018825
5;0.0251;0.0251;0.0251;0.03138;0.0251
6;0.03138;0.031375;0.03137;0.03765;0.031375
7;0.03765;0.031375;0.03765;0.04393;0.031375
8;0.04393;0.03765;0.0502;0.0502;0.03765
9;0.0502;0.043925;0.05648;0.05648;0.043925
10;0.05648;0.0502;0.06275;0.06275;0.0502
11;0.06275;0.056475;0.06902;0.0753;0.056475
12;0.06903;0.06275;0.0753;0.08158;0.06275
13;0.08158;0.069025;0.08785;0.08785;0.069025
14;0.08785;0.081575;0.09412;0.09413;0.081575
15;0.09413;0.08785;0.1004;0.10668;0.08785
16;0.1004;0.094125;0.10667;0.11295;0.094125
17;0.10668;0.1004;0.11922;0.1255;0.1004
18;0.11923;0.106675;0.1255;0.13178;0.106675
19;0.1255;0.11295;0.13177;0.13805;0.11295
20;0.13805;0.119225;0.14432;0.1506;0.119225
21;0.14433;0.1255;0.1506;0.15688;0.1255
22;0.15688;0.131775;0.16315;0.16943;0.131775
23;0.16315;0.144325;0.16943;0.1757;0.144325
24;0.1757;0.1506;0.18197;0.18825;0.1506
25;0.18198;0.156875;0.18825;0.2008;0.156875
26;0.19453;0.16315;0.2008;0.20708;0.16315
27;0.20708;0.169425;0.20707;0.21963;0.169425
28;0.21335;0.181975;0.21962;0.2259;0.181975
29;0.2259;0.18825;0.23217;0.23845;0.18825
30;0.23845;0.194525;0.23845;0.251;0.194525
31;0.251;0.207075;0.251;0.26355;0.207075
32;0.26355;0.21335;0.26355;0.26983;0.21335
33;0.2761;0.219625;0.2761;0.28238;0.219625
34;0.28865;0.232175;0.28238;0.29493;0.232175
35;0.3012;0.23845;0.29492;0.30748;0.23845
36;0.31375;0.244725;0.30747;0.32003;0.244725
37;0.3263;0.257275;0.32002;0.33258;0.257275
38;0.34513;0.26355;0.33257;0.34513;0.26355
39;0.35768;0.2761;0.34512;0.35768;0.2761
40;0.37023;0.282375;0.35767;0.37023;0.282375
41;0.38905;0.294925;0.37022;0.38278;0.294925
42;0.4016;0.3012;0.38277;0.39533;0.3012
43;0.42043;0.31375;0.39533;0.40788;0.31375
44;0.43298;0.320025;0.41415;0.42043;0.320025
45;0.4518;0.332575;0.4267;0.43298;0.332575
46;0.47063;0.345125;0.43925;0.4518;0.345125
47;0.48318;0.3514;0.4518;0.46435;0.3514
48;0.502;0.36395;0.47062;0.4769;0.36395
49;0.52083;0.3765;0.48317;0.49573;0.3765
50;0.53965;0.38905;0.502;0.50828;0.38905
51;0.55848;0.395325;0.51455;0.5271;0.395325
52;0.5773;0.407875;0.53337;0.53965;0.407875
53;0.59613;0.420425;0.5522;0.55848;0.420425
54;0.61495;0.432975;0.56475;0.57103;0.432975
55;0.64005;0.445525;0.58357;0.58985;0.445525
56;0.65888;0.458075;0.6024;0.6024;0.458075
57;0.6777;0.470625;0.62123;0.62123;0.470625
58;0.7028;0.483175;0.64005;0.64005;0.483175
59;0.72163;0.502;0.65887;0.65888;0.502
60;0.74673;0.51455;0.6777;0.6777;0.51455
61;0.77183;0.5271;0.69652;0.69653;0.5271
62;0.79065;0.53965;0.72162;0.71535;0.53965
63;0.81575;0.558475;0.74045;0.73418;0.558475
64;0.84085;0.571025;0.75927;0.753;0.571025
65;0.86595;0.58985;0.78437;0.77183;0.58985
66;0.89105;0.6024;0.80947;0.79065;0.6024
67;0.91615;0.621225;0.8283;0.80948;0.621225
68;0.94125;0.64005;0.8534;0.83458;0.64005
69;0.96635;0.6526;0.8785;0.8534;0.6526
70;0.99773;0.671425;0.9036;0.87223;0.671425
71;1.02283;0.69025;0.9287;0.89733;0.69025
72;1.0542;0.709075;0.9538;0.92243;0.709075
73;1.0793;0.7279;0.98517;0.94125;0.7279
74;1.11068;0.746725;1.01027;0.96635;0.746725
75;1.14205;0.771825;1.04165;0.99145;0.771825
76;1.17343;0.79065;1.06675;1.01655;0.79065
77;1.2048;0.809475;1.09812;1.04165;0.809475
78;1.23618;0.834575;1.1295;1.06675;0.834575
79;1.26755;0.8534;1.16087;1.09185;0.8534
80;1.29893;0.8785;1.19225;1.11695;0.8785
81;1.3303;0.897325;1.22362;1.14205;0.897325
82;1.36795;0.922425;1.255;1.17343;0.922425
83;1.4056;0.947525;1.29265;1.19853;0.947525
84;1.43698;0.972625;1.32402;1.2299;0.972625
85;1.47463;0.997725;1.36167;1.26128;0.997725
86;1.51228;1.022825;1.39932;1.28638;1.022825
87;1.54993;1.0542;1.43697;1.31775;1.0542
88;1.58758;1.0793;1.47462;1.34913;1.0793
89;1.62523;1.110675;1.51227;1.3805;1.110675
90;1.66915;1.135775;1.5562;1.41188;1.135775
91;1.7068;1.16715;1.59385;1.44953;1.16715
92;1.75073;1.198525;1.63778;1.4809;1.198525
93;1.79465;1.2299;1.6817;1.51855;1.2299
94;1.83858;1.261275;1.72562;1.54993;1.261275
95;1.8825;1.29265;1.76955;1.58758;1.29265
96;1.92643;1.324025;1.81347;1.62523;1.324025
97;1.97035;1.361675;1.86368;1.66288;1.361675
98;2.02055;1.39305;1.91387;1.70053;1.39305
99;2.06448;1.4307;1.9578;1.73818;1.4307
100;2.11468;1.46835;2.008;1.7821;1.46835
101;2.16488;1.506;2.06447;1.81975;1.506
102;2.21508;1.54365;2.11467;1.86368;1.54365
103;2.26528;1.587575;2.17115;1.9076;1.587575
104;2.32175;1.625225;2.22135;1.95153;1.625225
105;2.37195;1.66915;2.27782;1.99545;1.66915
106;2.42843;1.7068;2.34057;2.04565;1.7068
107;2.4849;1.750725;2.39705;2.08958;1.750725
108;2.54138;1.79465;2.45352;2.13978;1.79465
109;2.59785;1.838575;2.51627;2.18998;1.838575
110;2.6606;1.888775;2.57902;2.24018;1.888775
111;2.71708;1.9327;2.64177;2.29038;1.9327
112;2.77983;1.9829;2.7108;2.34685;1.9829
113;2.84258;2.0331;2.77355;2.40333;2.0331
114;2.90533;2.0833;2.84257;2.4598;2.0833
115;2.96808;2.139775;2.9116;2.51628;2.139775
116;3.0371;2.189975;2.9869;2.57275;2.189975
117;3.10613;2.24645;3.05592;2.6355;2.24645
118;3.16888;2.302925;3.13122;2.69825;2.302925
119;3.24418;2.3594;3.20652;2.761;2.3594
120;3.3132;2.42215;3.28182;2.82375;2.42215
121;3.38223;2.478625;3.35712;2.89278;2.478625
122;3.45753;2.541375;3.4387;2.9618;2.541375
123;3.53283;2.6104;3.52027;3.03083;2.6104
124;3.60813;2.67315;3.60185;3.10613;2.67315
125;3.6897;2.742175;3.68342;3.18143;2.742175
126;3.765;2.8112;3.77127;3.25673;2.8112
127;3.84658;2.8865;3.85912;3.3383;2.8865
128;3.92815;2.955525;3.94697;3.41988;2.955525
129;4.016;3.0371;4.0411;3.50145;3.0371
130;4.09758;3.1124;4.12895;3.5893;3.1124
131;4.18543;3.193975;4.22307;3.67715;3.193975
132;4.27328;3.281825;4.32347;3.77128;3.281825
133;4.3674;3.369675;4.4176;3.8654;3.369675
134;4.45525;3.457525;4.518;3.9658;3.457525
135;4.54938;3.55165;4.6184;4.0662;3.55165
136;4.6435;3.645775;4.7188;4.17288;3.645775
137;4.7439;3.746175;4.82547;4.27955;3.746175
138;4.8443;3.846575;4.93215;4.3925;3.846575
139;4.9447;3.95325;5.03882;4.51173;3.95325
140;5.0451;4.0662;5.1455;4.63095;4.0662
141;5.1455;4.17915;5.25845;4.75645;4.17915
142;5.25218;4.2921;5.3714;4.88823;4.2921
143;5.35885;4.4176;5.48435;5.02;4.4176
144;5.4718;4.5431;5.5973;5.15805;4.5431
145;5.58475;4.674875;5.71652;5.30238;4.674875
146;5.6977;4.80665;5.83575;5.4467;4.80665
147;5.81065;4.9447;5.96125;5.60358;4.9447
148;5.92988;5.089025;6.08047;5.76045;5.089025
